2019-01-10_10 10:00:08.706 INFO  [Eureka-EvictionTimer] com.netflix.eureka.registry.AbstractInstanceRegistry - Running the evict task with compensationTime 10ms
2019-01-10_10 10:00:20.705 INFO  [Eureka-EvictionTimer] com.netflix.eureka.registry.AbstractInstanceRegistry - Running the evict task with compensationTime 7ms
2019-01-10_10 10:00:32.283 INFO  [AsyncResolver-bootstrap-executor-0] com.netflix.discovery.shared.resolver.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
2019-01-10_10 10:00:33.935 INFO  [Eureka-EvictionTimer] com.netflix.eureka.registry.AbstractInstanceRegistry - Running the evict task with compensationTime 1ms
2019-01-10_10 10:00:37.895 INFO  [AsyncResolver-bootstrap-executor-0] com.netflix.discovery.shared.resolver.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
2019-01-10_10 10:00:41.603 INFO  [AsyncResolver-bootstrap-executor-0] com.netflix.discovery.shared.resolver.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
2019-01-10_10 10:00:44.257 INFO  [AsyncResolver-bootstrap-executor-0] com.netflix.discovery.shared.resolver.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
2019-01-10_10 10:01:08.710 INFO  [Eureka-EvictionTimer] com.netflix.eureka.registry.AbstractInstanceRegistry - Running the evict task with compensationTime 2ms
2019-01-10_10 10:01:20.709 INFO  [Eureka-EvictionTimer] com.netflix.eureka.registry.AbstractInstanceRegistry - Running the evict task with compensationTime 2ms
2019-01-10_10 10:01:33.939 INFO  [Eureka-EvictionTimer] com.netflix.eureka.registry.AbstractInstanceRegistry - Running the evict task with compensationTime 2ms
2019-01-10_10 10:02:08.719 INFO  [Eureka-EvictionTimer] com.netflix.eureka.registry.AbstractInstanceRegistry - Running the evict task with compensationTime 3ms
2019-01-10_10 10:02:20.718 INFO  [Eureka-EvictionTimer] com.netflix.eureka.registry.AbstractInstanceRegistry - Running the evict task with compensationTime 2ms
2019-01-10_10 10:02:33.948 INFO  [Eureka-EvictionTimer] com.netflix.eureka.registry.AbstractInstanceRegistry - Running the evict task with compensationTime 1ms
2019-01-10_10 10:03:08.725 INFO  [Eureka-EvictionTimer] com.netflix.eureka.registry.AbstractInstanceRegistry - Running the evict task with compensationTime 2ms
2019-01-10_10 10:03:20.722 INFO  [Eureka-EvictionTimer] com.netflix.eureka.registry.AbstractInstanceRegistry - Running the evict task with compensationTime 2ms
2019-01-10_10 10:03:33.951 INFO  [Eureka-EvictionTimer] com.netflix.eureka.registry.AbstractInstanceRegistry - Running the evict task with compensationTime 0ms
2019-01-10_10 10:04:08.729 INFO  [Eureka-EvictionTimer] com.netflix.eureka.registry.AbstractInstanceRegistry - Running the evict task with compensationTime 2ms
2019-01-10_10 10:04:20.728 INFO  [Eureka-EvictionTimer] com.netflix.eureka.registry.AbstractInstanceRegistry - Running the evict task with compensationTime 3ms
2019-01-10_10 10:04:33.954 INFO  [Eureka-EvictionTimer] com.netflix.eureka.registry.AbstractInstanceRegistry - Running the evict task with compensationTime 1ms
2019-01-10_10 10:04:58.754 INFO  [ReplicaAwareInstanceRegistry - RenewalThresholdUpdater] com.netflix.eureka.registry.PeerAwareInstanceRegistryImpl - Current renewal threshold is : 6
2019-01-10_10 10:05:08.734 INFO  [Eureka-EvictionTimer] com.netflix.eureka.registry.AbstractInstanceRegistry - Running the evict task with compensationTime 3ms
2019-01-10_10 10:05:10.699 INFO  [ReplicaAwareInstanceRegistry - RenewalThresholdUpdater] com.netflix.eureka.registry.PeerAwareInstanceRegistryImpl - Current renewal threshold is : 6
2019-01-10_10 10:05:20.733 INFO  [Eureka-EvictionTimer] com.netflix.eureka.registry.AbstractInstanceRegistry - Running the evict task with compensationTime 3ms
2019-01-10_10 10:05:24.571 INFO  [ReplicaAwareInstanceRegistry - RenewalThresholdUpdater] com.netflix.eureka.registry.PeerAwareInstanceRegistryImpl - Current renewal threshold is : 6
2019-01-10_10 10:05:32.307 INFO  [AsyncResolver-bootstrap-executor-0] com.netflix.discovery.shared.resolver.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
2019-01-10_10 10:05:33.958 INFO  [Eureka-EvictionTimer] com.netflix.eureka.registry.AbstractInstanceRegistry - Running the evict task with compensationTime 1ms
2019-01-10_10 10:05:37.919 INFO  [AsyncResolver-bootstrap-executor-0] com.netflix.discovery.shared.resolver.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
2019-01-10_10 10:05:41.631 INFO  [AsyncResolver-bootstrap-executor-0] com.netflix.discovery.shared.resolver.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
2019-01-10_10 10:05:44.286 INFO  [AsyncResolver-bootstrap-executor-0] com.netflix.discovery.shared.resolver.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
2019-01-10_10 10:06:08.741 INFO  [Eureka-EvictionTimer] com.netflix.eureka.registry.AbstractInstanceRegistry - Running the evict task with compensationTime 4ms
2019-01-10_10 10:06:20.738 INFO  [Eureka-EvictionTimer] com.netflix.eureka.registry.AbstractInstanceRegistry - Running the evict task with compensationTime 3ms
2019-01-10_10 10:06:33.963 INFO  [Eureka-EvictionTimer] com.netflix.eureka.registry.AbstractInstanceRegistry - Running the evict task with compensationTime 3ms
2019-01-10_10 10:07:08.744 INFO  [Eureka-EvictionTimer] com.netflix.eureka.registry.AbstractInstanceRegistry - Running the evict task with compensationTime 1ms
2019-01-10_10 10:07:20.743 INFO  [Eureka-EvictionTimer] com.netflix.eureka.registry.AbstractInstanceRegistry - Running the evict task with compensationTime 3ms
2019-01-10_10 10:07:33.968 INFO  [Eureka-EvictionTimer] com.netflix.eureka.registry.AbstractInstanceRegistry - Running the evict task with compensationTime 3ms
2019-01-10_10 10:08:08.746 INFO  [Eureka-EvictionTimer] com.netflix.eureka.registry.AbstractInstanceRegistry - Running the evict task with compensationTime 0ms
2019-01-10_10 10:08:20.750 INFO  [Eureka-EvictionTimer] com.netflix.eureka.registry.AbstractInstanceRegistry - Running the evict task with compensationTime 4ms
2019-01-10_10 10:08:33.974 INFO  [Eureka-EvictionTimer] com.netflix.eureka.registry.AbstractInstanceRegistry - Running the evict task with compensationTime 4ms
2019-01-10_10 10:09:08.752 INFO  [Eureka-EvictionTimer] com.netflix.eureka.registry.AbstractInstanceRegistry - Running the evict task with compensationTime 4ms
2019-01-10_10 10:09:20.755 INFO  [Eureka-EvictionTimer] com.netflix.eureka.registry.AbstractInstanceRegistry - Running the evict task with compensationTime 3ms
2019-01-10_10 10:09:33.979 INFO  [Eureka-EvictionTimer] com.netflix.eureka.registry.AbstractInstanceRegistry - Running the evict task with compensationTime 3ms
2019-01-10_10 10:10:08.759 INFO  [Eureka-EvictionTimer] com.netflix.eureka.registry.AbstractInstanceRegistry - Running the evict task with compensationTime 5ms
2019-01-10_10 10:10:20.760 INFO  [Eureka-EvictionTimer] com.netflix.eureka.registry.AbstractInstanceRegistry - Running the evict task with compensationTime 3ms
2019-01-10_10 10:10:32.317 INFO  [AsyncResolver-bootstrap-executor-0] com.netflix.discovery.shared.resolver.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
2019-01-10_10 10:10:33.982 INFO  [Eureka-EvictionTimer] com.netflix.eureka.registry.AbstractInstanceRegistry - Running the evict task with compensationTime 0ms
2019-01-10_10 10:10:37.930 INFO  [AsyncResolver-bootstrap-executor-0] com.netflix.discovery.shared.resolver.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
2019-01-10_10 10:10:41.644 INFO  [AsyncResolver-bootstrap-executor-0] com.netflix.discovery.shared.resolver.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
2019-01-10_10 10:10:44.296 INFO  [AsyncResolver-bootstrap-executor-0] com.netflix.discovery.shared.resolver.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
2019-01-10_10 10:11:08.763 INFO  [Eureka-EvictionTimer] com.netflix.eureka.registry.AbstractInstanceRegistry - Running the evict task with compensationTime 2ms
2019-01-10_10 10:11:20.762 INFO  [Eureka-EvictionTimer] com.netflix.eureka.registry.AbstractInstanceRegistry - Running the evict task with compensationTime 0ms
2019-01-10_10 10:11:33.988 INFO  [Eureka-EvictionTimer] com.netflix.eureka.registry.AbstractInstanceRegistry - Running the evict task with compensationTime 4ms
2019-01-10_10 10:12:08.768 INFO  [Eureka-EvictionTimer] com.netflix.eureka.registry.AbstractInstanceRegistry - Running the evict task with compensationTime 3ms
2019-01-10_10 10:12:20.769 INFO  [Eureka-EvictionTimer] com.netflix.eureka.registry.AbstractInstanceRegistry - Running the evict task with compensationTime 4ms
2019-01-10_10 10:12:33.992 INFO  [Eureka-EvictionTimer] com.netflix.eureka.registry.AbstractInstanceRegistry - Running the evict task with compensationTime 1ms
2019-01-10_10 10:12:41.374 INFO  [Thread-89] org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext - Closing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@788fcafb: startup date [Wed Jan 09 17:04:53 CST 2019]; parent: org.springframework.context.annotation.AnnotationConfigApplicationContext@3f56875e
2019-01-10_10 10:12:41.424 INFO  [Thread-89] org.springframework.cloud.netflix.eureka.serviceregistry.EurekaServiceRegistry - Unregistering application DEPT-PROVIDER with eureka with status DOWN
2019-01-10_10 10:12:41.426 WARN  [Thread-89] com.netflix.discovery.DiscoveryClient - Saw local status change event StatusChangeEvent [timestamp=1547086361426, current=DOWN, previous=UP]
2019-01-10_10 10:12:41.434 INFO  [DiscoveryClient-InstanceInfoReplicator-0] com.netflix.discovery.DiscoveryClient - DiscoveryClient_DEPT-PROVIDER/192.168.1.114:DEPT-PROVIDER:8001: registering service...
2019-01-10_10 10:12:41.453 INFO  [Thread-89] com.netflix.discovery.DiscoveryClient - Shutting down DiscoveryClient ...
2019-01-10_10 10:12:41.459 INFO  [Thread-89] com.netflix.discovery.DiscoveryClient - Unregistering ...
2019-01-10_10 10:12:41.514 INFO  [Thread-60] org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext - Closing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@788fcafb: startup date [Wed Jan 09 17:05:18 CST 2019]; parent: org.springframework.context.annotation.AnnotationConfigApplicationContext@3f56875e
2019-01-10_10 10:12:41.570 INFO  [http-nio-7002-exec-7] com.netflix.eureka.registry.AbstractInstanceRegistry - Registered instance DEPT-PROVIDER/192.168.1.114:DEPT-PROVIDER:8001 with status DOWN (replication=false)
2019-01-10_10 10:12:41.576 INFO  [Thread-60] org.springframework.cloud.netflix.eureka.serviceregistry.EurekaServiceRegistry - Unregistering application DEPT-PROVIDER with eureka with status DOWN
2019-01-10_10 10:12:41.582 WARN  [Thread-60] com.netflix.discovery.DiscoveryClient - Saw local status change event StatusChangeEvent [timestamp=1547086361582, current=DOWN, previous=UP]
2019-01-10_10 10:12:41.586 INFO  [DiscoveryClient-InstanceInfoReplicator-0] com.netflix.discovery.DiscoveryClient - DiscoveryClient_DEPT-PROVIDER/192.168.1.114:DEPT-PROVIDER:8003: registering service...
2019-01-10_10 10:12:41.589 INFO  [DiscoveryClient-InstanceInfoReplicator-0] com.netflix.discovery.DiscoveryClient - DiscoveryClient_DEPT-PROVIDER/192.168.1.114:DEPT-PROVIDER:8001 - registration status: 204
2019-01-10_10 10:12:41.594 INFO  [Thread-60] com.netflix.discovery.DiscoveryClient - Shutting down DiscoveryClient ...
2019-01-10_10 10:12:41.598 INFO  [Thread-60] com.netflix.discovery.DiscoveryClient - Unregistering ...
2019-01-10_10 10:12:41.612 INFO  [http-nio-7002-exec-3] com.netflix.eureka.registry.AbstractInstanceRegistry - Cancelled instance DEPT-PROVIDER/192.168.1.114:DEPT-PROVIDER:8001 (replication=false)
2019-01-10_10 10:12:41.626 INFO  [http-nio-7002-exec-9] com.netflix.eureka.registry.AbstractInstanceRegistry - Registered instance DEPT-PROVIDER/192.168.1.114:DEPT-PROVIDER:8003 with status DOWN (replication=false)
2019-01-10_10 10:12:41.627 INFO  [DiscoveryClient-InstanceInfoReplicator-0] com.netflix.discovery.DiscoveryClient - DiscoveryClient_DEPT-PROVIDER/192.168.1.114:DEPT-PROVIDER:8003 - registration status: 204
2019-01-10_10 10:12:41.628 INFO  [Thread-89] com.netflix.discovery.DiscoveryClient - DiscoveryClient_DEPT-PROVIDER/192.168.1.114:DEPT-PROVIDER:8001 - deregister  status: 200
2019-01-10_10 10:12:41.637 INFO  [http-nio-7002-exec-8] com.netflix.eureka.registry.AbstractInstanceRegistry - Cancelled instance DEPT-PROVIDER/192.168.1.114:DEPT-PROVIDER:8003 (replication=false)
2019-01-10_10 10:12:41.638 INFO  [Thread-60] com.netflix.discovery.DiscoveryClient - DiscoveryClient_DEPT-PROVIDER/192.168.1.114:DEPT-PROVIDER:8003 - deregister  status: 200
2019-01-10_10 10:12:41.670 INFO  [Thread-80] org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext - Closing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@1253e7cb: startup date [Wed Jan 09 17:04:28 CST 2019]; parent: org.springframework.context.annotation.AnnotationConfigApplicationContext@3571b748
2019-01-10_10 10:12:41.711 INFO  [Thread-89] com.netflix.discovery.DiscoveryClient - Completed shut down of DiscoveryClient
2019-01-10_10 10:12:41.714 INFO  [Thread-80] org.springframework.cloud.netflix.eureka.serviceregistry.EurekaServiceRegistry - Unregistering application dept-provider with eureka with status DOWN
2019-01-10_10 10:12:41.730 INFO  [Thread-80] com.netflix.discovery.DiscoveryClient - Shutting down DiscoveryClient ...
2019-01-10_10 10:12:41.730 INFO  [Thread-80] com.netflix.discovery.DiscoveryClient - Completed shut down of DiscoveryClient
2019-01-10_10 10:12:41.765 INFO  [Thread-94] org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext - Closing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@1253e7cb: startup date [Wed Jan 09 17:04:35 CST 2019]; parent: org.springframework.context.annotation.AnnotationConfigApplicationContext@3571b748
2019-01-10_10 10:12:41.791 INFO  [Thread-80] org.springframework.context.support.DefaultLifecycleProcessor - Stopping beans in phase 0
2019-01-10_10 10:12:41.796 INFO  [Thread-94] org.springframework.cloud.netflix.eureka.serviceregistry.EurekaServiceRegistry - Unregistering application dept-provider with eureka with status DOWN
